Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Week,Day,Quarter,Net_Price,Discount_Flag,Stock_Gap,Stockout_Risk,Demand_to_Inventory_Ratio
2022-01-01,S001,P0015,Toys,North,119.0,55.0,74,14.39,5,Snowy,0,13.59,Winter,0,64.0,2022,1,52,1,1,13.6705,1,64.0,0,0.5333333333333333
2022-01-01,S001,P0016,Groceries,North,103.0,78.0,372,38.79,10,Snowy,0,35.14,Winter,0,115.0,2022,1,52,1,1,34.911,1,25.0,0,1.1057692307692308
2022-01-01,S001,P0017,Toys,North,128.0,59.0,0,21.21,0,Snowy,0,22.73,Winter,0,75.0,2022,1,52,1,1,21.21,0,69.0,0,0.5813953488372093
2022-01-01,S001,P0018,Groceries,North,281.0,78.0,0,54.4,5,Snowy,0,54.1,Winter,0,66.0,2022,1,52,1,1,51.68,1,203.0,0,0.23404255319148937
2022-01-01,S001,P0019,Furniture,North,281.0,61.0,0,95.56,10,Snowy,0,103.05,Winter,0,58.0,2022,1,52,1,1,86.004,1,220.0,0,0.20567375886524822
2022-01-01,S001,P0020,Furniture,North,266.0,36.0,0,100.47,5,Snowy,0,115.24,Winter,0,43.0,2022,1,52,1,1,95.4465,1,230.0,0,0.16104868913857678
2022-01-01,S002,P0001,Groceries,South,102.0,102.0,331,90.89,0,Cloudy,0,81.87,Winter,0,118.0,2022,1,52,1,1,90.89,0,0.0,0,1.145631067961165
2022-01-01,S002,P0002,Toys,South,193.0,119.0,192,25.68,25,Cloudy,1,30.95,Winter,0,105.0,2022,1,52,1,1,19.259999999999998,1,74.0,0,0.5412371134020618
2022-01-01,S002,P0003,Groceries,South,187.0,167.0,596,95.17,10,Cloudy,1,84.24,Winter,0,171.0,2022,1,52,1,1,85.653,1,20.0,0,0.9095744680851063
2022-01-01,S002,P0004,Groceries,South,160.0,111.0,339,39.54,10,Cloudy,0,46.57,Winter,0,110.0,2022,1,52,1,1,35.586,1,49.0,0,0.6832298136645962
2022-01-01,S002,P0005,Electronics,South,155.0,103.0,334,92.35,0,Cloudy,0,104.72,Winter,0,94.0,2022,1,52,1,1,92.35,0,52.0,0,0.6025641025641025
2022-01-01,S002,P0006,Clothing,South,198.0,79.0,0,64.0,5,Cloudy,0,57.37,Winter,0,88.0,2022,1,52,1,1,60.8,1,119.0,0,0.44221105527638194
2022-01-01,S002,P0007,Toys,South,233.0,89.0,226,25.47,10,Cloudy,0,30.08,Winter,0,93.0,2022,1,52,1,1,22.923,1,144.0,0,0.3974358974358974
2022-01-01,S002,P0008,Groceries,South,124.0,124.0,99,25.63,5,Cloudy,0,29.79,Winter,0,112.0,2022,1,52,1,1,24.348499999999998,1,0.0,0,0.896
2022-01-01,S002,P0009,Groceries,South,131.0,131.0,260,64.84,10,Cloudy,0,68.68,Winter,0,145.0,2022,1,52,1,1,58.356,1,0.0,0,1.0984848484848484
2022-01-01,S002,P0010,Groceries,South,242.0,118.0,194,117.17,5,Cloudy,0,106.37,Winter,0,195.0,2022,1,52,1,1,111.3115,1,124.0,0,0.8024691358024691
2022-01-01,S002,P0011,Groceries,South,206.0,49.0,191,84.71,10,Cloudy,0,76.07,Winter,0,79.0,2022,1,52,1,1,76.23899999999999,1,157.0,0,0.38164251207729466
2022-01-01,S002,P0012,Electronics,South,197.0,78.0,413,78.86,0,Cloudy,0,69.84,Winter,0,122.0,2022,1,52,1,1,78.86,0,119.0,0,0.6161616161616161
2022-01-01,S002,P0013,Groceries,South,152.0,93.0,331,21.76,10,Cloudy,0,21.12,Winter,0,109.0,2022,1,52,1,1,19.584000000000003,1,59.0,0,0.7124183006535948
2022-01-01,S002,P0014,Electronics,South,153.0,69.0,289,100.18,10,Cloudy,1,108.96,Winter,0,63.0,2022,1,52,1,1,90.162,1,84.0,0,0.4090909090909091
2022-01-01,S002,P0015,Clothing,South,106.0,70.0,457,65.19,10,Cloudy,0,64.23,Winter,0,96.0,2022,1,52,1,1,58.671,1,36.0,0,0.897196261682243
2022-01-01,S002,P0016,Clothing,South,113.0,113.0,323,111.87,5,Cloudy,0,118.76,Winter,0,194.0,2022,1,52,1,1,106.2765,1,0.0,0,1.7017543859649122
2022-01-01,S002,P0017,Toys,South,153.0,72.0,196,18.89,5,Cloudy,0,18.27,Winter,0,65.0,2022,1,52,1,1,17.9455,1,81.0,0,0.42207792207792205
2022-01-01,S002,P0018,Clothing,South,126.0,69.0,86,27.67,0,Cloudy,0,26.08,Winter,0,79.0,2022,1,52,1,1,27.67,0,57.0,0,0.6220472440944882
2022-01-01,S002,P0019,Clothing,South,164.0,82.0,391,83.09,10,Cloudy,0,74.12,Winter,0,96.0,2022,1,52,1,1,74.781,1,82.0,0,0.5818181818181818
2022-01-01,S002,P0020,Furniture,South,126.0,43.0,132,125.8,0,Cloudy,0,110.88,Winter,0,53.0,2022,1,52,1,1,125.8,0,83.0,0,0.41732283464566927
2022-01-01,S003,P0001,Toys,East,182.0,109.0,193,16.85,10,Sunny,0,15.48,Winter,0,112.0,2022,1,52,1,1,15.165000000000001,1,73.0,0,0.6120218579234973
2022-01-01,S003,P0002,Groceries,East,290.0,56.0,236,50.42,10,Sunny,1,45.94,Winter,0,82.0,2022,1,52,1,1,45.378,1,234.0,0,0.281786941580756
2022-01-01,S003,P0003,Electronics,East,122.0,122.0,127,83.17,20,Sunny,1,72.09,Winter,0,126.0,2022,1,52,1,1,66.536,1,0.0,0,1.024390243902439
2022-01-01,S003,P0004,Groceries,East,203.0,122.0,518,26.29,5,Sunny,0,30.05,Winter,0,158.0,2022,1,52,1,1,24.975499999999997,1,81.0,0,0.7745098039215687
2022-01-01,S003,P0005,Toys,East,253.0,40.0,212,19.8,5,Sunny,0,17.3,Winter,0,57.0,2022,1,52,1,1,18.81,1,213.0,0,0.22440944881889763
2022-01-01,S003,P0006,Toys,East,227.0,106.0,0,44.64,0,Sunny,0,50.46,Winter,0,136.0,2022,1,52,1,1,44.64,0,121.0,0,0.5964912280701754
2022-01-01,S003,P0007,Groceries,East,247.0,123.0,552,18.65,0,Sunny,0,21.62,Winter,0,142.0,2022,1,52,1,1,18.65,0,124.0,0,0.5725806451612904
2022-01-01,S003,P0008,Clothing,East,297.0,61.0,0,113.01,0,Sunny,0,126.44,Winter,0,89.0,2022,1,52,1,1,113.01,0,236.0,0,0.2986577181208054
2022-01-01,S003,P0009,Groceries,East,226.0,96.0,0,56.32,5,Sunny,0,66.33,Winter,0,126.0,2022,1,52,1,1,53.504,1,130.0,0,0.5550660792951542
2022-01-01,S003,P0010,Groceries,East,167.0,70.0,127,36.21,10,Sunny,0,39.87,Winter,0,106.0,2022,1,52,1,1,32.589,1,97.0,0,0.6309523809523809
2022-01-01,S003,P0011,Electronics,East,159.0,157.0,293,131.16,10,Sunny,0,139.75,Winter,0,149.0,2022,1,52,1,1,118.044,1,2.0,0,0.93125
2022-01-01,S003,P0012,Furniture,East,126.0,58.0,131,105.94,0,Sunny,0,103.35,Winter,0,80.0,2022,1,52,1,1,105.94,0,68.0,0,0.6299212598425197
2022-01-01,S003,P0013,Groceries,East,105.0,105.0,743,86.78,10,Sunny,0,78.8,Winter,0,176.0,2022,1,52,1,1,78.102,1,0.0,0,1.6603773584905661
2022-01-01,S003,P0014,Groceries,East,271.0,27.0,0,61.69,25,Sunny,1,53.36,Winter,0,44.0,2022,1,52,1,1,46.2675,1,244.0,0,0.16176470588235295
2022-01-01,S003,P0015,Groceries,East,166.0,131.0,500,98.46,10,Sunny,0,104.52,Winter,0,133.0,2022,1,52,1,1,88.61399999999999,1,35.0,0,0.7964071856287425
2022-01-01,S003,P0016,Electronics,East,292.0,80.0,0,94.11,10,Sunny,0,107.33,Winter,0,108.0,2022,1,52,1,1,84.699,1,212.0,0,0.36860068259385664
2022-01-01,S003,P0017,Furniture,East,204.0,53.0,380,112.23,10,Sunny,0,133.9,Winter,0,82.0,2022,1,52,1,1,101.007,1,151.0,0,0.4
2022-01-01,S003,P0018,Furniture,East,289.0,56.0,316,134.95,5,Sunny,0,125.53,Winter,0,75.0,2022,1,52,1,1,128.2025,1,233.0,0,0.25862068965517243
2022-01-01,S003,P0019,Groceries,East,201.0,109.0,0,59.71,0,Sunny,0,70.74,Winter,0,123.0,2022,1,52,1,1,59.71,0,92.0,0,0.6089108910891089
2022-01-01,S003,P0020,Clothing,East,250.0,41.0,270,65.81,5,Sunny,0,57.66,Winter,0,61.0,2022,1,52,1,1,62.5195,1,209.0,0,0.24302788844621515
2022-01-01,S004,P0001,Groceries,West,215.0,85.0,287,10.47,0,Snowy,0,11.51,Winter,0,81.0,2022,1,52,1,1,10.47,0,130.0,0,0.375
2022-01-01,S004,P0002,Groceries,West,283.0,67.0,0,19.12,10,Snowy,1,20.62,Winter,0,112.0,2022,1,52,1,1,17.208000000000002,1,216.0,0,0.39436619718309857
2022-01-01,S004,P0003,Furniture,West,161.0,92.0,407,134.16,20,Snowy,1,117.74,Winter,0,114.0,2022,1,52,1,1,107.328,1,69.0,0,0.7037037037037037
2022-01-01,S004,P0004,Groceries,West,168.0,88.0,252,51.64,0,Snowy,0,57.32,Winter,0,86.0,2022,1,52,1,1,51.64,0,80.0,0,0.5088757396449705
2022-01-01,S004,P0005,Clothing,West,289.0,197.0,0,89.23,10,Snowy,0,77.73,Winter,0,183.0,2022,1,52,1,1,80.307,1,92.0,0,0.6310344827586207
2022-01-01,S004,P0006,Groceries,West,206.0,48.0,162,35.33,0,Snowy,0,34.77,Winter,0,73.0,2022,1,52,1,1,35.33,0,158.0,0,0.3526570048309179
2022-01-01,S004,P0007,Groceries,West,185.0,43.0,253,24.34,5,Snowy,0,26.46,Winter,0,65.0,2022,1,52,1,1,23.122999999999998,1,142.0,0,0.34946236559139787
2022-01-01,S004,P0008,Furniture,West,281.0,59.0,0,100.64,0,Snowy,0,118.02,Winter,0,80.0,2022,1,52,1,1,100.64,0,222.0,0,0.28368794326241137
2022-01-01,S004,P0009,Clothing,West,206.0,106.0,299,110.47,5,Snowy,0,122.04,Winter,0,98.0,2022,1,52,1,1,104.9465,1,100.0,0,0.47342995169082125
2022-01-01,S004,P0010,Groceries,West,223.0,120.0,597,30.02,0,Snowy,0,29.15,Winter,0,128.0,2022,1,52,1,1,30.02,0,103.0,0,0.5714285714285714
2022-01-01,S004,P0011,Clothing,West,195.0,60.0,293,52.89,0,Snowy,0,62.29,Winter,0,61.0,2022,1,52,1,1,52.89,0,135.0,0,0.3112244897959184
2022-01-01,S004,P0012,Electronics,West,111.0,111.0,113,118.15,0,Snowy,0,133.46,Winter,0,103.0,2022,1,52,1,1,118.15,0,0.0,0,0.9196428571428571
2022-01-01,S004,P0013,Groceries,West,136.0,104.0,385,20.24,10,Snowy,0,18.9,Winter,0,110.0,2022,1,52,1,1,18.215999999999998,1,32.0,0,0.8029197080291971
2022-01-01,S004,P0014,Furniture,West,110.0,52.0,122,148.46,10,Snowy,1,178.25,Winter,0,70.0,2022,1,52,1,1,133.614,1,58.0,0,0.6306306306306306
2022-01-01,S004,P0015,Furniture,West,249.0,42.0,0,86.47,5,Snowy,0,81.87,Winter,0,44.0,2022,1,52,1,1,82.14649999999999,1,207.0,0,0.176
2022-01-01,S004,P0016,Furniture,West,155.0,74.0,218,110.39,10,Snowy,0,101.16,Winter,0,71.0,2022,1,52,1,1,99.351,1,81.0,0,0.4551282051282051
2022-01-01,S004,P0017,Clothing,West,232.0,65.0,0,84.83,10,Snowy,0,94.7,Winter,0,85.0,2022,1,52,1,1,76.347,1,167.0,0,0.3648068669527897
2022-01-01,S004,P0018,Furniture,West,165.0,64.0,0,141.31,10,Snowy,0,150.73,Winter,0,67.0,2022,1,52,1,1,127.179,1,101.0,0,0.4036144578313253
2022-01-01,S004,P0019,Clothing,West,146.0,125.0,103,56.86,10,Snowy,0,64.61,Winter,0,111.0,2022,1,52,1,1,51.174,1,21.0,0,0.7551020408163265
2022-01-01,S004,P0020,Furniture,West,290.0,52.0,0,124.97,10,Snowy,0,110.39,Winter,0,76.0,2022,1,52,1,1,112.473,1,238.0,0,0.2611683848797251
2022-01-01,S005,P0001,Groceries,North,182.0,75.0,198,11.46,5,Snowy,0,9.92,Winter,0,84.0,2022,1,52,1,1,10.887,1,107.0,0,0.45901639344262296
2022-01-01,S005,P0002,Electronics,North,131.0,131.0,474,48.68,10,Snowy,1,51.85,Winter,0,186.0,2022,1,52,1,1,43.812,1,0.0,0,1.4090909090909092
2022-01-01,S005,P0003,Toys,North,247.0,145.0,0,29.57,20,Snowy,1,26.3,Winter,0,143.0,2022,1,52,1,1,23.656000000000002,1,102.0,0,0.5766129032258065
2022-01-01,S005,P0004,Groceries,North,195.0,143.0,114,7.45,10,Snowy,0,8.33,Winter,0,121.0,2022,1,52,1,1,6.705,1,52.0,0,0.6173469387755102
2022-01-01,S005,P0005,Groceries,North,187.0,126.0,344,20.02,0,Snowy,0,18.12,Winter,0,148.0,2022,1,52,1,1,20.02,0,61.0,0,0.7872340425531915
2022-01-01,S005,P0006,Groceries,North,280.0,59.0,300,53.49,5,Snowy,0,52.34,Winter,0,67.0,2022,1,52,1,1,50.8155,1,221.0,0,0.23843416370106763
2022-01-01,S005,P0007,Groceries,North,297.0,74.0,0,82.73,0,Snowy,0,79.8,Winter,0,85.0,2022,1,52,1,1,82.73,0,223.0,0,0.28523489932885904
2022-01-01,S005,P0008,Groceries,North,229.0,165.0,0,73.42,0,Snowy,0,84.61,Winter,0,149.0,2022,1,52,1,1,73.42,0,64.0,0,0.6478260869565218
2022-01-01,S005,P0009,Groceries,North,270.0,59.0,268,94.75,0,Snowy,0,112.34,Winter,0,94.0,2022,1,52,1,1,94.75,0,211.0,0,0.34686346863468637
2022-01-01,S005,P0010,Groceries,North,132.0,132.0,436,70.86,0,Snowy,0,63.54,Winter,0,136.0,2022,1,52,1,1,70.86,0,0.0,0,1.0225563909774436
2022-01-01,S005,P0011,Electronics,North,220.0,17.0,0,62.12,0,Snowy,0,55.78,Winter,0,15.0,2022,1,52,1,1,62.12,0,203.0,0,0.06787330316742081
2022-01-01,S005,P0012,Furniture,North,230.0,71.0,371,133.86,5,Snowy,0,118.2,Winter,0,84.0,2022,1,52,1,1,127.167,1,159.0,0,0.36363636363636365
2022-01-01,S005,P0013,Groceries,North,145.0,82.0,328,71.03,10,Snowy,0,78.02,Winter,0,116.0,2022,1,52,1,1,63.927,1,63.0,0,0.7945205479452054
2022-01-01,S005,P0014,Furniture,North,193.0,63.0,219,161.18,10,Snowy,1,156.66,Winter,0,82.0,2022,1,52,1,1,145.062,1,130.0,0,0.422680412371134
2022-01-01,S005,P0015,Groceries,North,132.0,108.0,203,44.36,10,Snowy,0,52.84,Winter,0,93.0,2022,1,52,1,1,39.924,1,24.0,0,0.6992481203007519
2022-01-01,S005,P0016,Toys,North,131.0,59.0,191,32.84,0,Snowy,0,39.5,Winter,0,76.0,2022,1,52,1,1,32.84,0,72.0,0,0.5757575757575758
2022-01-01,S005,P0017,Toys,North,159.0,89.0,73,33.04,10,Snowy,0,37.53,Winter,0,88.0,2022,1,52,1,1,29.736,1,70.0,0,0.55
2022-01-01,S005,P0018,Clothing,North,245.0,68.0,0,22.41,0,Snowy,0,22.24,Winter,0,88.0,2022,1,52,1,1,22.41,0,177.0,0,0.35772357723577236
2022-01-01,S005,P0019,Furniture,North,202.0,42.0,0,119.15,10,Snowy,0,102.4,Winter,0,47.0,2022,1,52,1,1,107.23500000000001,1,160.0,0,0.2315270935960591
2022-01-01,S005,P0020,Toys,North,131.0,79.0,105,28.66,10,Snowy,0,34.32,Winter,0,104.0,2022,1,52,1,1,25.794,1,52.0,0,0.7878787878787878
2022-01-02,S001,P0001,Electronics,North,93.0,71.0,0,65.63,5,Snowy,0,73.66,Winter,0,84.0,2022,1,52,2,1,62.348499999999994,1,22.0,0,0.8936170212765957
2022-01-02,S001,P0002,Clothing,North,249.0,116.0,0,74.44,10,Snowy,0,87.66,Winter,0,175.0,2022,1,52,2,1,66.996,1,133.0,0,0.7
2022-01-02,S001,P0003,Clothing,North,133.0,130.0,0,66.15,0,Snowy,0,74.15,Winter,0,156.0,2022,1,52,2,1,66.15,0,3.0,0,1.164179104477612
2022-01-02,S001,P0004,Electronics,North,94.0,82.0,183,91.64,10,Snowy,0,105.17,Winter,0,78.0,2022,1,52,2,1,82.476,1,12.0,0,0.8210526315789474
2022-01-02,S001,P0005,Groceries,North,87.0,87.0,487,63.35,0,Snowy,0,61.2,Winter,0,103.0,2022,1,52,2,1,63.35,0,0.0,0,1.1704545454545454
2022-01-02,S001,P0006,Toys,North,149.0,77.0,172,36.93,5,Snowy,0,32.24,Winter,0,65.0,2022,1,52,2,1,35.0835,1,72.0,0,0.43333333333333335
2022-01-02,S001,P0007,Groceries,North,37.0,37.0,497,27.22,0,Snowy,0,31.11,Winter,0,127.0,2022,1,52,2,1,27.22,0,0.0,0,3.3421052631578947
2022-01-02,S001,P0008,Electronics,North,202.0,37.0,0,37.38,5,Snowy,0,42.34,Winter,0,58.0,2022,1,52,2,1,35.511,1,165.0,0,0.2857142857142857
2022-01-02,S001,P0009,Clothing,North,166.0,133.0,107,93.21,10,Snowy,0,83.66,Winter,0,126.0,2022,1,52,2,1,83.889,1,33.0,0,0.7544910179640718
2022-01-02,S001,P0010,Furniture,North,122.0,105.0,498,129.03,10,Snowy,1,139.76,Winter,0,107.0,2022,1,52,2,1,116.12700000000001,1,17.0,0,0.8699186991869918
2022-01-02,S001,P0011,Furniture,North,164.0,152.0,264,175.19,10,Snowy,1,187.65,Winter,0,130.0,2022,1,52,2,1,157.671,1,12.0,0,0.7878787878787878
2022-01-02,S001,P0012,Groceries,North,168.0,168.0,397,96.27,10,Snowy,1,109.41,Winter,0,187.0,2022,1,52,2,1,86.643,1,0.0,0,1.106508875739645
2022-01-02,S001,P0013,Toys,North,166.0,73.0,90,32.72,10,Snowy,0,28.94,Winter,0,107.0,2022,1,52,2,1,29.448,1,93.0,0,0.6407185628742516
2022-01-02,S001,P0014,Groceries,North,131.0,81.0,0,70.94,0,Snowy,0,66.18,Winter,0,75.0,2022,1,52,2,1,70.94,0,50.0,0,0.5681818181818182
2022-01-02,S001,P0015,Toys,North,138.0,117.0,109,15.17,10,Snowy,1,16.81,Winter,0,110.0,2022,1,52,2,1,13.653,1,21.0,0,0.7913669064748201
2022-01-02,S001,P0016,Groceries,North,25.0,25.0,0,35.58,0,Snowy,0,30.98,Winter,0,59.0,2022,1,52,2,1,35.58,0,0.0,0,2.269230769230769
2022-01-02,S001,P0017,Toys,North,69.0,33.0,50,17.76,10,Snowy,0,16.08,Winter,0,42.0,2022,1,52,2,1,15.984000000000002,1,36.0,0,0.6
2022-01-02,S001,P0018,Groceries,North,203.0,172.0,155,66.33,10,Snowy,0,56.8,Winter,0,144.0,2022,1,52,2,1,59.697,1,31.0,0,0.7058823529411765
2022-01-02,S001,P0019,Furniture,North,220.0,35.0,0,93.29,10,Snowy,0,99.51,Winter,0,52.0,2022,1,52,2,1,83.96100000000001,1,185.0,0,0.23529411764705882
2022-01-02,S001,P0020,Furniture,North,230.0,93.0,432,119.87,10,Snowy,0,111.8,Winter,0,92.0,2022,1,52,2,1,107.88300000000001,1,137.0,0,0.39826839826839827
2022-01-02,S002,P0001,Groceries,South,0.0,0.0,350,86.71,10,Cloudy,0,85.0,Winter,0,137.0,2022,1,52,2,1,78.039,1,0.0,0,137.0
2022-01-02,S002,P0002,Toys,South,74.0,61.0,0,31.7,0,Cloudy,0,36.09,Winter,0,82.0,2022,1,52,2,1,31.7,0,13.0,0,1.0933333333333333
2022-01-02,S002,P0003,Groceries,South,20.0,20.0,0,66.64,10,Cloudy,0,61.22,Winter,0,58.0,2022,1,52,2,1,59.976,1,0.0,0,2.761904761904762
2022-01-02,S002,P0004,Groceries,South,49.0,40.0,0,36.7,5,Cloudy,0,35.23,Winter,0,59.0,2022,1,52,2,1,34.865,1,9.0,0,1.18
2022-01-02,S002,P0005,Electronics,South,52.0,52.0,412,98.83,5,Cloudy,0,94.92,Winter,0,115.0,2022,1,52,2,1,93.8885,1,0.0,0,2.169811320754717
2022-01-02,S002,P0006,Clothing,South,119.0,116.0,137,66.76,10,Cloudy,0,59.62,Winter,0,117.0,2022,1,52,2,1,60.084,1,3.0,0,0.975
2022-01-02,S002,P0007,Toys,South,144.0,95.0,0,30.0,0,Cloudy,0,28.44,Winter,0,95.0,2022,1,52,2,1,30.0,0,49.0,0,0.6551724137931034
2022-01-02,S002,P0008,Groceries,South,99.0,99.0,153,29.35,0,Cloudy,0,34.68,Winter,0,140.0,2022,1,52,2,1,29.35,0,0.0,0,1.4
2022-01-02,S002,P0009,Groceries,South,0.0,0.0,263,74.78,0,Cloudy,0,83.48,Winter,0,158.0,2022,1,52,2,1,74.78,0,0.0,0,158.0
2022-01-02,S002,P0010,Groceries,South,318.0,179.0,0,101.56,25,Cloudy,1,98.18,Winter,0,226.0,2022,1,52,2,1,76.17,1,139.0,0,0.7084639498432602
2022-01-02,S002,P0011,Groceries,South,157.0,135.0,474,91.4,15,Cloudy,1,109.66,Winter,0,137.0,2022,1,52,2,1,77.69,1,22.0,0,0.8670886075949367
2022-01-02,S002,P0012,Electronics,South,119.0,75.0,511,65.63,15,Cloudy,1,56.85,Winter,0,115.0,2022,1,52,2,1,55.78549999999999,1,44.0,0,0.9583333333333334
2022-01-02,S002,P0013,Groceries,South,59.0,45.0,0,20.47,0,Cloudy,0,22.07,Winter,0,75.0,2022,1,52,2,1,20.47,0,14.0,0,1.25
2022-01-02,S002,P0014,Electronics,South,84.0,84.0,564,134.04,10,Cloudy,0,124.77,Winter,0,135.0,2022,1,52,2,1,120.636,1,0.0,0,1.588235294117647
2022-01-02,S002,P0015,Clothing,South,36.0,36.0,604,65.22,20,Cloudy,1,71.11,Winter,0,152.0,2022,1,52,2,1,52.176,1,0.0,0,4.108108108108108
2022-01-02,S002,P0016,Clothing,South,0.0,0.0,260,107.38,0,Cloudy,0,114.77,Winter,0,159.0,2022,1,52,2,1,107.38,0,0.0,0,159.0
2022-01-02,S002,P0017,Toys,South,81.0,63.0,323,18.69,10,Cloudy,0,20.42,Winter,0,92.0,2022,1,52,2,1,16.821,1,18.0,0,1.1219512195121952
2022-01-02,S002,P0018,Clothing,South,143.0,74.0,87,26.16,5,Cloudy,0,31.4,Winter,0,92.0,2022,1,52,2,1,24.852,1,69.0,0,0.6388888888888888
2022-01-02,S002,P0019,Clothing,South,82.0,66.0,439,93.88,0,Cloudy,0,85.41,Winter,0,101.0,2022,1,52,2,1,93.88,0,16.0,0,1.216867469879518
2022-01-02,S002,P0020,Furniture,South,83.0,77.0,214,134.4,0,Cloudy,0,124.57,Winter,0,70.0,2022,1,52,2,1,134.4,0,6.0,0,0.8333333333333334
2022-01-02,S003,P0001,Toys,East,73.0,73.0,0,15.76,5,Cloudy,0,16.81,Winter,0,91.0,2022,1,52,2,1,14.972,1,0.0,0,1.2297297297297298
2022-01-02,S003,P0002,Groceries,East,234.0,175.0,548,63.12,10,Cloudy,0,55.32,Winter,0,154.0,2022,1,52,2,1,56.808,1,59.0,0,0.6553191489361702
2022-01-02,S003,P0003,Electronics,East,127.0,125.0,160,109.88,0,Cloudy,0,107.36,Winter,0,145.0,2022,1,52,2,1,109.88,0,2.0,0,1.1328125
2022-01-02,S003,P0004,Groceries,East,81.0,39.0,0,19.9,0,Cloudy,0,22.28,Winter,0,56.0,2022,1,52,2,1,19.9,0,42.0,0,0.6829268292682927
2022-01-02,S003,P0005,Toys,East,213.0,59.0,0,20.05,10,Cloudy,0,17.73,Winter,0,75.0,2022,1,52,2,1,18.045,1,154.0,0,0.35046728971962615
2022-01-02,S003,P0006,Toys,East,121.0,70.0,96,40.69,0,Cloudy,0,39.79,Winter,0,91.0,2022,1,52,2,1,40.69,0,51.0,0,0.7459016393442623
2022-01-02,S003,P0007,Groceries,East,124.0,124.0,0,16.3,10,Cloudy,0,19.56,Winter,0,132.0,2022,1,52,2,1,14.670000000000002,1,0.0,0,1.056
2022-01-02,S003,P0008,Clothing,East,236.0,121.0,306,132.2,5,Cloudy,0,148.43,Winter,0,156.0,2022,1,52,2,1,125.58999999999999,1,115.0,0,0.6582278481012658
2022-01-02,S003,P0009,Groceries,East,130.0,78.0,86,52.56,10,Cloudy,0,51.15,Winter,0,105.0,2022,1,52,2,1,47.304,1,52.0,0,0.8015267175572519
2022-01-02,S003,P0010,Groceries,East,224.0,92.0,0,32.73,20,Cloudy,1,32.0,Winter,0,96.0,2022,1,52,2,1,26.183999999999997,1,132.0,0,0.4266666666666667
2022-01-02,S003,P0011,Electronics,East,2.0,2.0,386,113.61,25,Cloudy,1,126.49,Winter,0,163.0,2022,1,52,2,1,85.2075,1,0.0,0,54.333333333333336
